t,demand
890,3.21
891,3.28
892,3.32
893,3.31
894,3.83
895,3.92
896,6.61
897,6.39
898,3.59
899,3.63
900,6.59
901,10.7
902,3.34
903,3.53
904,3.31
905,4.09
906,9.99
907,11.3
908,4.52
909,4.48
910,4.42
911,3.35
912,3.26
913,3.26
914,3.38
915,3.18
916,3.25
917,3.25
918,3.84
919,3.98
920,6.76
921,6.36
922,3.55
923,3.68
924,6.65
925,9.95
926,3.39
927,3.39
928,3.38
929,4.12
930,10.14
931,11.02
932,4.34
933,4.37
934,4.3
935,3.27
936,3.25
937,3.35
938,3.29
939,3.27
940,3.34
941,3.2
942,3.81
943,3.87
944,6.51
945,6.48
946,3.64
947,3.57
948,6.53
949,10.74
950,3.41
951,3.42
952,3.44
953,4.01
954,10.01
955,11.38
956,4.43
957,4.4
958,4.26
959,3.29
960,3.32
961,3.29
962,3.34
963,3.23
964,3.26
965,3.24
966,3.84
967,3.87
968,6.46
969,6.35
970,3.54
971,3.65
972,6.69
973,10.66
974,3.36
975,3.45
976,3.37
977,4.07
978,10.15
979,10.69
980,4.37
981,4.42
982,4.16
983,3.19
984,3.31
985,3.22
986,3.23
987,3.34
988,3.22
989,3.23
990,3.86
991,3.91
992,6.6
993,6.33
994,3.66
995,3.71
996,6.43
997,10.48
998,3.29
999,3.46
1000,3.34
1001,4.1
1002,10.18
1003,11.23
1004,4.47
1005,4.36
1006,4.41
1007,3.27
1008,3.25
1009,3.37
1010,3.3
1011,3.28
1012,3.3
1013,3.28
1014,3.85
1015,3.8
1016,6.54
1017,6.31
1018,3.46
1019,3.65
1020,6.53
1021,10.03
1022,3.23
1023,3.48
1024,3.39
1025,4.06
1026,10.25
1027,10.7
1028,4.43
1029,4.44
1030,4.29
1031,3.26
1032,3.33
1033,3.25
1034,3.29
1035,3.31
1036,3.27
1037,3.27
1038,3.85
1039,3.82
1040,6.52
1041,6.34
1042,3.55
1043,3.53
1044,6.79
1045,10.29
1046,3.22
1047,3.51
1048,3.43
1049,3.93
1050,9.98
1051,10.93
1052,4.52
1053,4.51
1054,4.16
1055,3.22
1056,3.19
1057,3.14
1058,3.28
1059,3.35
1060,3.25
1061,3.27
1062,3.97
1063,3.88
1064,6.49
1065,6.2
1066,3.6
1067,3.54
1068,6.42
1069,9.94
1070,3.24
1071,3.38
1072,3.36
1073,3.91
1074,10.13
1075,11.17
1076,4.36
1077,4.47
1078,4.26
1079,3.37
1080,3.25
1081,3.32
1082,3.34
1083,3.28
1084,3.32
1085,3.34
1086,3.9
1087,3.95
1088,6.6
1089,6.46
1090,3.63
1091,3.55
1092,6.57
1093,10.38
1094,3.25
1095,3.42
1096,3.35
1097,4.03
1098,10.01
1099,11.19
1100,4.44
1101,4.31
1102,4.25
1103,3.34
1104,3.16
1105,3.3
1106,3.21
1107,3.31
1108,3.36
1109,3.32
1110,3.86
1111,3.79
1112,6.64
1113,6.37
1114,3.48
1115,3.57
1116,6.66
1117,10.28
1118,3.25
1119,3.45
1120,3.32
1121,4.1
1122,9.68
1123,10.89
1124,4.52
1125,4.46
1126,4.28
1127,3.26
1128,3.33
1129,3.31
1130,3.29
1131,3.24
1132,3.28
1133,3.28
1134,3.86
1135,3.85
1136,6.45
1137,6.33
1138,3.64
1139,3.69
1140,6.49
1141,10.18
1142,3.29
1143,3.39
1144,3.49
1145,4.07
1146,9.87
1147,11.16
1148,4.42
1149,4.53
1150,4.23
1151,3.26
1152,3.26
1153,3.3
1154,3.23
1155,3.29
1156,3.22
1157,3.29
1158,3.92
1159,3.87
1160,6.61
1161,6.35
1162,3.76
1163,3.57
1164,6.6
1165,10.24
1166,3.23
1167,3.32
1168,3.36
1169,4.01
1170,10.11
1171,10.86
1172,4.4
1173,4.44
1174,4.28
1175,3.22
1176,3.32
1177,3.3
1178,3.28
1179,3.26
1180,3.26
1181,3.35
1182,3.91
1183,3.9
1184,6.5
1185,6.48
1186,3.52
1187,3.56
1188,6.5
1189,10.32
1190,3.25
1191,3.38
1192,3.44
1193,4
1194,9.74
1195,10.87
1196,4.5
1197,4.49
1198,4.33
1199,3.22
1200,3.33
1201,3.38
1202,3.38
1203,3.35
1204,3.24
1205,3.39
1206,3.87
1207,3.81
1208,6.54
1209,6.44
1210,3.53
1211,3.78
1212,6.6
1213,10.49
1214,3.33
1215,3.46
1216,3.48
1217,4.14
1218,9.49
1219,10.6
1220,4.46
1221,4.38
1222,4.31
1223,3.27
1224,3.32
1225,3.41
1226,3.41
1227,3.34
1228,3.22
1229,3.29
1230,4.01
1231,3.9
1232,6.51
1233,6.38
1234,3.66
1235,3.73
1236,6.61
1237,10.21
1238,3.26
1239,3.42
1240,3.44
1241,3.86
1242,10.02
1243,10.92
1244,4.51
1245,4.47
1246,4.32
1247,3.22
1248,3.33
1249,3.33
1250,3.23
1251,3.25
1252,3.3
1253,3.23
1254,3.84
1255,3.87
1256,6.48
1257,6.25
1258,3.56
1259,3.62
1260,6.6
1261,10.41
1262,3.25
1263,3.45
1264,3.46
1265,4.05
1266,9.94
1267,10.67
1268,4.46
1269,4.47
1270,4.39
1271,3.19
1272,3.26
1273,3.3
1274,3.25
1275,3.24
1276,3.22
1277,3.23
1278,3.79
1279,3.85
1280,6.48
1281,6.48
1282,3.57
1283,3.66
1284,6.59
1285,10.29
1286,3.32
1287,3.44
1288,3.51
1289,4.12
1290,9.86
1291,10.88
1292,4.66
1293,4.53
1294,4.3
1295,3.3
1296,3.29
1297,3.36
1298,3.26
1299,3.24
1300,3.33
1301,3.36
1302,3.86
1303,3.98
1304,6.44
1305,6.5
1306,3.59
1307,3.61
1308,6.57
1309,10.18
1310,3.25
1311,3.45
1312,3.38
1313,3.95
1314,10.04
1315,11.29
1316,4.52
1317,4.49
1318,4.41
1319,3.28
1320,3.12
1321,3.3
1322,3.29
1323,3.27
1324,3.28
1325,3.32
1326,3.83
1327,3.9
1328,6.6
1329,6.34
1330,3.45
1331,3.71
1332,6.41
1333,10.56
1334,3.25
1335,3.43
1336,3.45
1337,4.03
1338,9.78
1339,11
1340,4.42
1341,4.37
1342,4.22
1343,3.18
1344,3.44
1345,3.21
1346,3.33
1347,3.25
1348,3.29
1349,3.17
1350,3.91
1351,3.85
1352,6.37
1353,6.51
1354,3.59
1355,3.64
1356,6.67
1357,10.35
1358,3.26
1359,3.43
1360,3.45
1361,3.94
1362,9.99
1363,10.8
1364,4.43
1365,4.44
1366,4.3
1367,3.27
1368,3.33
1369,3.3
1370,3.41
1371,3.36
1372,3.28
1373,3.35
1374,3.97
1375,3.94
1376,6.75
1377,6.44
1378,3.65
1379,3.54
1380,6.82
1381,10.45
1382,3.2
1383,3.5
1384,3.35
1385,4.08
1386,10.03
1387,11.18
1388,4.4
1389,4.4
1390,4.25
1391,3.27
1392,3.29
1393,3.31
1394,3.23
1395,3.36
1396,3.12
1397,3.35
1398,3.79
1399,3.99
1400,6.55
1401,6.38
1402,3.67
1403,3.76
1404,6.6
1405,10.81
1406,3.28
1407,3.43
1408,3.45
1409,4.1
1410,9.82
1411,11.02
1412,4.46
1413,4.48
1414,4.21
1415,3.4
1416,3.3
1417,3.33
1418,3.29
1419,3.18
1420,3.35
1421,3.21
1422,3.9
1423,3.83
1424,6.32
1425,6.4
1426,3.54
1427,3.57
1428,6.76
1429,10.38
1430,3.25
1431,3.45
1432,3.45
1433,4.09
1434,9.93
1435,10.82
1436,4.45
1437,4.5
1438,4.28
1439,3.3
1440,3.28
1441,3.3
1442,3.25
1443,3.26
1444,3.28
1445,3.26
1446,3.82
1447,3.83
1448,6.58
1449,6.25
1450,3.53
1451,3.63
1452,6.6
1453,10.23
1454,3.31
1455,3.35
1456,3.44
1457,4.02
1458,10.11
1459,11.13
1460,4.46
1461,4.49
1462,4.31
1463,3.29
1464,3.36
1465,3.31
1466,3.29
1467,3.33
1468,3.31
1469,3.32
1470,3.93
1471,3.99
1472,6.64
1473,6.33
1474,3.63
1475,3.63
1476,6.64
1477,10.33
1478,3.23
1479,3.42
1480,3.37
1481,3.97
1482,10.21
1483,11.12
1484,4.5
1485,4.39
1486,4.36
1487,3.38
1488,3.36
1489,3.36
1490,3.28
1491,3.3
1492,3.29
1493,3.27
1494,3.99
1495,3.98
1496,6.49
1497,6.5
1498,3.61
1499,3.65
1500,6.53
1501,10.33
1502,3.31
1503,3.48
1504,3.47
1505,4.09
1506,10.14
1507,10.99
1508,4.52
1509,4.38
1510,4.27
1511,3.3
1512,3.38
1513,3.33
1514,3.21
1515,3.34
1516,3.34
1517,3.23
1518,3.86
1519,3.93
1520,6.45
1521,6.3
1522,3.46
1523,3.73
1524,6.68
1525,10.23
1526,3.26
1527,3.46
1528,3.36
1529,4.06
1530,10.24
1531,10.78
1532,4.48
1533,4.34
1534,4.23
1535,3.29
1536,3.29
1537,3.31
1538,3.28
1539,3.25
1540,3.29
1541,3.26
1542,3.82
1543,3.9
1544,6.62
1545,6.41
1546,3.64
1547,3.71
1548,6.69
1549,10.35
1550,3.3
1551,3.38
1552,3.45
1553,4.13
1554,9.79
1555,10.82
1556,4.56
1557,4.46
1558,4.27
1559,3.32
1560,3.39
1561,3.28
1562,3.29
1563,3.28
1564,3.25
1565,3.27
1566,3.88
1567,3.87
1568,6.63
1569,6.3
1570,3.59
1571,3.72
1572,6.73
1573,10.03
1574,3.42
1575,3.54
1576,3.41
1577,4.07
1578,10.07
1579,11.17
1580,4.42
1581,4.37
1582,4.26
1583,3.36
1584,3.4
1585,3.26
1586,3.19
1587,3.27
1588,3.31
1589,3.18
1590,3.86
1591,3.84
1592,6.45
1593,6.37
1594,3.67
1595,3.53
1596,6.69
1597,10.57
1598,3.23
1599,3.35
1600,3.44
1601,3.99
1602,10.15
1603,11.13
1604,4.37
1605,4.43
1606,4.28
1607,3.18
1608,3.32
1609,3.4
1610,3.26
1611,3.27
1612,3.3
1613,3.21
1614,3.91
1615,3.94
1616,6.84
1617,6.37
1618,3.55
1619,3.58
1620,6.71
1621,10.46
1622,3.25
1623,3.41
1624,3.42
1625,4.1
1626,10
1627,11.05
1628,4.44
1629,4.39
1630,4.22
1631,3.21
1632,3.2
1633,3.18
1634,3.25
1635,3.24
1636,3.28
1637,3.19
1638,3.92
1639,3.86
1640,6.54
1641,6.47
1642,3.59
1643,3.43
1644,6.65
1645,10.39
1646,3.2
1647,3.46
1648,3.39
1649,4.12
1650,10.1
1651,10.82
1652,4.39
1653,4.38
1654,4.2
1655,3.32
1656,3.24
1657,3.3
1658,3.15
1659,3.32
1660,3.31
1661,3.27
1662,3.67
1663,3.78
1664,6.6
1665,6.46
1666,3.6
1667,3.57
1668,6.44
1669,9.96
1670,3.35
1671,3.45
1672,3.52
1673,3.99
1674,10.34
1675,10.74
1676,4.36
1677,4.53
1678,4.27
1679,3.31
1680,3.32
1681,3.27
1682,3.21
1683,3.29
1684,3.32
1685,3.29
1686,3.88
1687,3.87
1688,6.53
1689,6.29
1690,3.63
1691,3.51
1692,6.71
1693,10.42
1694,3.25
1695,3.41
1696,3.46
1697,3.98
1698,9.99
1699,11.44
1700,4.35
1701,4.39
1702,4.4
1703,3.34
1704,3.22
1705,3.33
1706,3.22
1707,3.26
1708,3.22
1709,3.25
1710,3.84
1711,3.84
1712,6.59
1713,6.47
1714,3.63
1715,3.71
1716,6.84
1717,10.58
1718,3.32
1719,3.31
1720,3.46
1721,3.96
1722,9.99
1723,11.12
1724,4.42
1725,4.36
1726,4.33
1727,3.31
1728,3.33
1729,3.24
1730,3.28
1731,3.3
1732,3.24
1733,3.29
1734,3.9
1735,3.77
1736,6.43
1737,6.29
1738,3.57
1739,3.63
1740,6.75
1741,10.34
1742,3.28
1743,3.44
1744,3.46
1745,4.01
1746,10.22
1747,10.62
1748,4.49
1749,4.43
1750,4.31
1751,3.29
1752,3.24
1753,3.28
1754,3.25
1755,3.33
1756,3.3
1757,3.23
1758,3.97
1759,3.85
1760,6.67
1761,6.49
1762,3.6
1763,3.55
1764,6.55
1765,10.43
1766,3.25
1767,3.54
1768,3.46
1769,4.04
1770,9.94
1771,10.86
1772,4.43
1773,4.5
1774,4.23
1775,3.32
1776,3.27
1777,3.27
1778,3.2
1779,3.3
1780,3.22
1781,3.18
1782,3.78
1783,3.86
1784,6.51
1785,6.3
1786,3.68
1787,3.6
1788,6.49
1789,10.45
1790,3.36
1791,3.47
1792,3.45
1793,4.05
1794,10.27
1795,10.94
1796,4.43
1797,4.4
1798,4.28
1799,3.22
1800,3.22
1801,3.24
1802,3.3
1803,3.28
1804,3.29
1805,3.19
1806,3.79
1807,3.91
1808,6.4
1809,6.39
1810,3.53
1811,3.65
1812,6.65
1813,10.31
1814,3.33
1815,3.42
1816,3.45
1817,3.96
1818,9.89
1819,11.14
1820,4.29
1821,4.5
1822,4.37
1823,3.23
1824,3.26
1825,3.31
1826,3.32
1827,3.4
1828,3.33
1829,3.18
1830,3.91
1831,3.72
1832,6.56
1833,6.31
1834,3.68
1835,3.56
1836,6.64
1837,10.33
1838,3.2
1839,3.45
1840,3.36
1841,4.08
1842,10.18
1843,10.7
1844,4.26
1845,4.42
1846,4.25
1847,3.32
1848,3.27
1849,3.28
1850,3.25
1851,3.21
1852,3.19
1853,3.2
1854,3.99
1855,4.05
1856,6.35
1857,6.36
1858,3.51
1859,3.44
1860,6.69
1861,10.31
1862,3.36
1863,3.49
1864,3.5
1865,4.08
1866,9.93
1867,11.06
1868,4.42
1869,4.45
1870,4.35
1871,3.27
1872,3.33
1873,3.21
1874,3.34
1875,3.22
1876,3.33
1877,3.26
1878,3.86
1879,3.81
1880,6.58
1881,6.29
1882,3.65
1883,3.66
1884,6.44
1885,9.95
1886,3.27
1887,3.4
1888,3.47
1889,4.06
1890,10.12
1891,10.76
1892,4.45
1893,4.31
1894,4.23
1895,3.34
1896,3.24
1897,3.36
1898,3.33
1899,3.32
1900,3.23
1901,3.3
1902,3.82
1903,3.85
1904,6.64
1905,6.41
1906,3.58
1907,3.49
1908,6.56
1909,10.48
1910,3.22
1911,3.42
1912,3.49
1913,4.02
1914,9.82
1915,11.18
1916,4.42
1917,4.53
1918,4.14
1919,3.37
1920,3.24
1921,3.27
1922,3.27
1923,3.29
1924,3.31
1925,3.28
1926,3.92
1927,3.91
1928,6.39
1929,6.38
1930,3.51
1931,3.76
1932,6.7
1933,10.09
1934,3.3
1935,3.49
1936,3.46
1937,3.94
1938,9.95
1939,11.06
1940,4.38
1941,4.4
1942,4.21
1943,3.36
1944,3.21
1945,3.23
1946,3.2
1947,3.26
1948,3.3
1949,3.3
1950,3.83
1951,3.86
1952,6.51
1953,6.46
1954,3.58
1955,3.5
1956,6.67
1957,10.43
1958,3.23
1959,3.47
1960,3.53
1961,3.97
1962,9.82
1963,11.26
1964,4.46
1965,4.4
1966,4.34
1967,3.32
1968,3.19
1969,3.36
1970,3.27
1971,3.3
1972,3.32
1973,3.21
1974,3.93
1975,3.89
1976,6.51
1977,6.35
1978,3.56
1979,3.48
1980,6.47
1981,10.36
1982,3.33
1983,3.31
1984,3.53
1985,3.99
1986,10.26
1987,10.71
1988,4.51
1989,4.35
1990,4.28
1991,3.27
1992,3.34
1993,3.42
1994,3.29
1995,3.23
1996,3.32
1997,3.19
1998,3.81
1999,3.87
2000,6.58
2001,6.26
2002,3.6
2003,3.67
2004,6.61
2005,10.3
2006,3.3
2007,3.47
2008,3.5
2009,3.98
2010,9.79
2011,11.01
2012,4.51
2013,4.59
2014,4.31
2015,3.35
2016,3.17
2017,3.28
2018,3.3
2019,3.26
2020,3.25
2021,3.25
2022,3.85
2023,3.94
2024,6.74
2025,6.51
2026,3.68
2027,3.66
2028,6.59
2029,10.31
2030,3.35
2031,3.4
2032,3.42
2033,3.98
2034,10.03
2035,11
2036,4.46
2037,4.46
2038,4.31
2039,3.28
2040,3.25
2041,3.29
2042,3.27
2043,3.28
2044,3.27
2045,3.32
2046,3.82
2047,3.91
2048,6.51
2049,6.3
2050,3.65
2051,3.65
2052,6.47
2053,10.08
2054,3.24
2055,3.32
2056,3.45
2057,4.08
2058,9.99
2059,10.93
2060,4.42
2061,4.48
2062,4.18
2063,3.25
2064,3.23
2065,3.27
2066,3.3
2067,3.18
2068,3.28
2069,3.18
2070,3.96
2071,3.89
2072,6.64
2073,6.49
2074,3.71
2075,3.61
2076,6.55
2077,10.46
2078,3.21
2079,3.4
2080,3.43
2081,4.1
2082,10.17
2083,10.81
2084,4.42
2085,4.52
2086,4.27
2087,3.26
2088,3.28
2089,3.33
2090,3.31
2091,3.3
2092,3.3
2093,3.28
2094,3.95
2095,3.86
2096,6.5
2097,6.38
2098,3.48
2099,3.59
2100,6.51
2101,10.16
2102,3.39
2103,3.44
2104,3.49
2105,4
2106,10.04
2107,11.34
2108,4.32
2109,4.44
2110,4.21
2111,3.26
2112,3.33
2113,3.37
2114,3.31
2115,3.3
2116,3.34
2117,3.29
2118,3.89
2119,3.86
2120,6.68
2121,6.31
2122,3.67
2123,3.58
2124,6.45
2125,10.76
2126,3.28
2127,3.4
2128,3.53
2129,3.97
2130,10.23
2131,11.44
2132,4.42
2133,4.45
2134,4.24
2135,3.3
2136,3.36
2137,3.18
2138,3.34
2139,3.19
2140,3.33
2141,3.37
2142,3.89
2143,3.92
